Summary,Issue Type,Description,Priority,Sprint,Story Points,Epic Link,Labels,Assignee
"ElderCare Authentication System",Epic,"Complete authentication flow including sign in, sign up, password reset functionality",High,,,authentication,Bilal Rafiq
"ElderCare Dashboard System",Epic,"Dashboard interfaces for all user roles: Elder, Family, Admin, Volunteer",High,,,dashboards,Talha Tariq
"Backend API Development",Epic,"RESTful API endpoints for all system functionality",High,,,backend,Zee Waqar
"Health & Medication Management",Epic,"Health metrics tracking and medication management features",Medium,,,health,Muhammad Zain bin Zafar
"Activities & Events System",Epic,"Activity scheduling and event management functionality",Medium,,,activities,Bilal Rafiq
"Testing & Deployment",Epic,"System testing, Docker configuration, and deployment",Medium,,,deployment,Talha Tariq

"[AUTH] Create Sign In Page UI",Story,"As a user, I want to sign in with my email and password so that I can access my dashboard. Includes role selection (Elder/Family/Admin/Volunteer), email field, password field, and Forgot Password link.",High,Sprint 1,5,ElderCare Authentication System,authentication;frontend,Bilal Rafiq
"[AUTH] Create Sign Up Page UI",Story,"As a new user, I want to register an account so that I can use the ElderCare system. Includes role selection, name, email, password fields with validation.",High,Sprint 1,5,ElderCare Authentication System,authentication;frontend,Talha Tariq
"[AUTH] Create Forgot Password Page",Story,"As a user, I want to request a password reset so that I can recover my account. Email input with verification.",High,Sprint 1,3,ElderCare Authentication System,authentication;frontend,Zee Waqar
"[AUTH] Create Reset Password Page",Story,"As a user, I want to reset my password using the reset link so that I can regain access to my account.",High,Sprint 1,3,ElderCare Authentication System,authentication;frontend,Muhammad Zain bin Zafar
"[AUTH] Implement User Model",Story,"Create MongoDB User schema with fields: name, email, password (hashed), role, createdAt, resetToken.",High,Sprint 1,3,ElderCare Authentication System,authentication;backend,Bilal Rafiq
"[AUTH] Implement Auth Controller",Story,"Create authentication controller with login, register, forgotPassword, resetPassword functions.",High,Sprint 1,5,ElderCare Authentication System,authentication;backend,Talha Tariq
"[AUTH] Implement Auth Routes",Story,"Create Express routes for /api/auth/login, /api/auth/register, /api/auth/forgot-password, /api/auth/reset-password.",High,Sprint 1,3,ElderCare Authentication System,authentication;backend,Zee Waqar
"[AUTH] Implement JWT Middleware",Story,"Create authentication middleware to protect routes using JSON Web Tokens.",High,Sprint 1,3,ElderCare Authentication System,authentication;backend,Muhammad Zain bin Zafar
"[AUTH] Connect Frontend to Auth API",Story,"Integrate Axios calls from React pages to backend authentication endpoints.",High,Sprint 1,5,ElderCare Authentication System,authentication;integration,Bilal Rafiq

